440,Over the Hedge,2006,$339795890
441,300: Rise of an Empire,2014,$337580051
442,Batman Forever,1995,$336567158
443,Prince of Persia: The Sands of Time,2009,$336365676
444,The Curious Case of Benjamin Button,2008,$335802786
445,Journey 2: The Mysterious Island,2012,$335287748
446,The Rock,1996,$335062621
447,The Great Wall,2016,$334933831
448,Now You See Me 2,2016,$334897606
449,Never Say Die,2017,$334530869
450,Fantastic Four,2005,$333535934
451,Indiana Jones and the Temple of Doom,1984,$333107271
452,Tomorrow Never Dies,1997,$333011068
453,Back to the Future Part II,1989,$332500002
454,The Good Dinosaur,2015,$332207671
455,Free Guy,2021,$331526598
456,22 Jump Street,2014,$331333876
457,Meet the Parents,2000,$330444045
458,Who Framed Roger Rabbit,1988,$329803958
459,Black Swan,2010,$329398046
460,The Perfect Storm,2000,$328718434
461,Crocodile Dundee,1986,$328203506
462,Crazy Alien,2019,$327598891
463,Se7en,1995,$327333559
464,John Wick: Chapter 3 - Parabellum,2019,$327281779
465,The Devil Wears Prada,2006,$326706115
466,Taken 3,2015,$326479141
467,The Hunchback of Notre Dame,1996,$325338851
468,A Christmas Carol,2009,$325286646
469,The SpongeBob Movie: Sponge Out of Water,2015,$325186032
470,Schindler's List,1993,$322161245
471,Megamind,2010,$321885765
472,The Conjuring 2,2016,$321834351
473,Green Book,2018,$321752656
474,Lethal Weapon 3,1992,$321731527
475,Robin Hood,2010,$321669741
476,Inglourious Basterds,2009,$321457747
477,101 Dalmatians,1996,$320689294
478,The Conjuring,2013,$320406242
479,Fatal Attraction,1987,$320145693
480,Sonic the Hedgehog,2020,$319715683
481,The Last Airbender,2010,$319713881
482,The Proposal,2009,$317375031
483,A Beautiful Mind,2001,$316791257
484,Beverly Hills Cop,1984,$316360478
485,The Polar Express,2004,$315249768
486,Air Force One,1997,$315156409
487,The Expendables 2,2012,$314975955
488,Chicken Little,2005,$314432837
489,As Good as It Gets,1997,$314178011
490,Maze Runner: The Scorch Trials,2015,$312296056
491,Resident Evil: The Final Chapter,2016,$312242626
492,The Lego Batman Movie,2017,$312136671
493,Austin Powers: The Spy Who Shagged Me,1999,$312016928
494,Knives Out,2019,$311605581
495,Ocean's Thirteen,2007,$311312624
496,Little Fockers,2010,$310650585
497,Bolt,2008,$309979994
498,Ransom,1996,$309492681
499,Runaway Bride,1999,$309460292
500,The Blind Side,2009,$309231694
501,The Ex-File 3: The Return of The Exes,2017,$307592427
502,The Fault in Our Stars,2014,$307166834
503,The Pursuit of Happyness,2006,$307127625
504,Rise of the Guardians,2012,$306941670
505,Close Encounters of the Third Kind,1977,$306889114
506,Chicago,2002,$306776732
507,Annabelle: Creation,2017,$306515884
508,Wonder,2017,$306209289
509,Skyscraper,2018,$304868961
510,A Good Day to Die Hard,2013,$304654182
511,Mulan,1998,$304320254
512,Dangal,2016,$303723636
513,Passengers,2016,$303144152
514,Battleship,2012,$303025485
515,Liar Liar,1997,$302710615
516,G.I. Joe: The Rise of Cobra,2009,$302469017
517,Wrath of the Titans,2012,$301970083
518,Fantastic Four: Rise of the Silver Surfer,2007,$301913131
519,Hook,1991,$300854823
520,Superman,1978,$300478449
521,Rocky IV,1985,$300473716
522,Rambo: First Blood Part II,1985,$300400432
523,Resident Evil: Afterlife,2010,$300228084
524,Van Helsing,2004,$300157638
525,Stuart Little,1999,$300135367
526,Beverly Hills Cop II,1987,$299965036
527,Alice Through the Looking Glass,2016,$299820798
528,My Best Friend's Wedding,1997,$299288605
529,Real Steel,2011,$299268508
530,Horton Hears a Who!,2008,$298572799
531,Ocean's Eight,2018,$297795726
532,A Quiet Place Part II,2021,$297372261
533,The Divergent Series: Insurgent,2015,$297002527
534,Look Who's Talking,1989,$296999813
535,Austin Powers in Goldmember,2002,$296938801
536,Ghostbusters,1984,$296578797
537,Miss Peregrine's Home for Peculiar Children,2016,$296482446
538,X-Men,2000,$296339528
539,Ferdinand,2017,$296069199
540,Shutter Island,2010,$294805697
541,Doctor Dolittle,1998,$294456605
542,Bee Movie,2007,$293514336
543,Salt,2010,$293503354
544,G-Force,2009,$292817898
545,The Departed,2006,$291480452
546,What Lies Beneath,2000,$291420351
547,Pacific Rim: Uprising,2018,$290930148
548,The Bourne Supremacy,2004,$290835269
549,Sex and the City 2,2010,$290745055
550,Shakespeare in Love,1998,$289317794
551,Divergent,2014,$288885818
552,Coming to America,1988,$288752301
553,Wedding Crashers,2005,$288485135
554,Bridesmaids,2011,$288383523
555,Maze Runner: The Death Cure,2018,$288175335
556,Casper,1995,$287928194
557,American Pie 2,2001,$287553595
558,Pitch Perfect 2,2015,$287144079
559,The Green Mile,1999,$286801374
560,Oblivion,2013,$286168572
561,Elysium,2013,$286140700
562,Elvis,2022,$285937360
563,Lethal Weapon 4,1998,$285444603
564,John Carter,2012,$284139100
565,Turbo,2013,$282570682
566,Paddington,2014,$282377683
567,Bridget Jones's Diary,2001,$281995610
568,The Tourist,2010,$278780441
569,Split,2017,$278454417
570,Scary Movie,2000,$278019771
571,xXx,2002,$277448382
572,The Bourne Legacy,2012,$276144750
573,Mr. Peabody & Sherman,2014,$275698039
574,Scooby-Doo,2002,$275678613
575,Lincoln,2012,$275293450
576,Lara Croft: Tomb Raider,2001,$274703340
577,Tomb Raider,2018,$274650803
578,The Expendables,2010,$274470394
579,Cloudy with a Chance of Meatballs 2,2013,$274325949
580,The Nutty Professor,1996,$273961019
581,Jerry Maguire,1996,$273552592
582,Bad Boys II,2003,$273339556
583,Lilo & Stitch,2002,$273144151
584,The Silence of the Lambs,1991,$272742922
585,Grown Ups,2010,$271457301
586,Neighbors,2014,$270665134
587,The Firm,1993,$270248367
588,We're the Millers,2012,$269994119
589,Gran Torino,2008,$269958228
590,10,000 BC,2008,$269784201
591,American Gangster,2007,$269755430
592,Epic,2013,$268426634
593,Exodus: Gods and Kings,2014,$268175631
594,Bambi,1942,$267447150
595,The Princess and the Frog,2009,$267045765
596,Batman Returns,1992,$266915287
597,Indecent Proposal,1993,$266614059
598,Something's Gotta Give,2003,$265328738
599,Bridget Jones: The Edge of Reason,2004,$265126918
600,The Incredible Hulk,2008,$264770996
601,Waterworld,1995,$264218220
602,The Truman Show,1998,$264118201
603,Charlie's Angels,2000,$264105545
604,The Fifth Element,1997,$263920180
605,Parasite,2019,$262858929
606,Jumanji,1995,$262821940
607,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,$262552893
608,Robots,2005,$262511490
609,Knight and Day,2008,$261989769
610,Total Recall,1990,$261317921
611,This Is It,2009,$261183588
612,Terminator: Dark Fate,2019,$261119292
613,The Lone Ranger,2013,$260502115
614,Super 8,2011,$260095986
615,Mojin: The Lost Legend,2015,$259368448
616,Blade Runner 2049,2017,$259352064
617,Charlie's Angels: Full Throttle,2003,$259175788
618,Rush Hour 3,2007,$258097122
619,The Full Monty,1997,$257938649
620,Kung Fu Yoga,2017,$257753889
621,Annabelle,2014,$257589721
622,Encanto,2021,$256786742
623,The Village,2003,$256697520
624,Lost in Hong Kong,2015,$256283912
625,Erin Brockovich,2000,$256271286
626,Pegasus,2019,$255863112
627,Get Out,2016,$255745157
628,Marley & Me,2008,$255743093
629,Halloween,2018,$255614941
630,Us,2019,$255229022
631,Cliffhanger,1993,$255000211
632,Baahubali 2: The Conclusion,2017,$254158390
633,Babe,1995,$254134910
